mobilizacao,ponto_acidente,distancia_metros,frequencia_acidentes
440,85,1492.699951171875,4.0
86,86,0.0,4.0
86,87,2193.199951171875,4.0
210,88,2168.300048828125,4.0
86,89,1403.5,4.0
210,90,2112.89990234375,4.0
86,91,1827.9000244140625,4.0
86,92,660.4000244140625,4.0
86,93,1178.0,4.0
227,94,1366.9000244140625,3.0
98,95,2077.10009765625,3.0
227,96,1534.5999755859375,3.0
98,97,1116.199951171875,3.0
98,98,0.0,3.0
227,99,1330.4000244140625,3.0
86,100,1705.0999755859375,3.0
440,101,2962.800048828125,3.0
440,102,127.9000015258789,3.0
210,103,2095.699951171875,3.0
440,104,1860.9000244140625,3.0
98,105,229.60000610351562,3.0
98,106,378.29998779296875,3.0
86,107,1716.199951171875,3.0
440,108,1068.4000244140625,3.0
227,109,1711.199951171875,3.0
440,110,4392.7998046875,3.0
227,111,1355.800048828125,3.0
440,112,737.2000122070312,3.0
440,113,1204.5999755859375,3.0
98,114,675.4000244140625,3.0
210,115,1786.0999755859375,3.0
440,116,2141.0,3.0
98,117,1604.300048828125,3.0
86,118,787.2000122070312,3.0
86,119,2095.300048828125,3.0
86,120,2003.699951171875,3.0
210,121,2085.60009765625,3.0
86,122,528.2999877929688,3.0
440,123,1079.800048828125,3.0
86,124,311.6000061035156,3.0
210,125,2607.199951171875,3.0
227,126,949.5,3.0
86,127,1572.0999755859375,3.0
227,128,803.5999755859375,3.0
86,129,1371.300048828125,3.0
86,130,1451.800048828125,3.0
227,131,919.7000122070312,3.0
227,132,1246.199951171875,3.0
440,133,4812.0,3.0
227,134,997.7999877929688,3.0
440,135,3057.300048828125,3.0
227,136,3004.0,3.0
440,137,1121.699951171875,3.0
86,138,1457.5,3.0
440,139,481.20001220703125,3.0
86,140,517.2999877929688,3.0
86,141,205.39999389648438,3.0
440,142,1547.300048828125,3.0
98,143,1535.9000244140625,3.0
86,144,1707.199951171875,3.0
98,145,2068.5,3.0
440,146,1551.0999755859375,3.0
440,147,5985.7998046875,3.0
227,148,1188.4000244140625,3.0
86,149,1513.300048828125,3.0
440,150,1083.300048828125,3.0
86,151,2269.699951171875,3.0
98,152,2332.5,3.0
86,153,2100.0,3.0
227,154,246.1999969482422,3.0
440,155,1639.199951171875,3.0
86,156,1217.300048828125,3.0
86,157,1629.4000244140625,3.0
440,158,2823.199951171875,3.0
210,159,1423.0,3.0
210,160,2139.5,3.0
210,161,2412.10009765625,3.0
98,162,4001.5,3.0
98,163,2157.300048828125,3.0
98,164,1286.0,3.0
98,165,2934.0,3.0
210,166,3737.199951171875,3.0
210,167,3943.199951171875,3.0
210,168,2163.199951171875,3.0
440,169,1459.5999755859375,3.0
440,170,2982.300048828125,3.0
440,171,2343.800048828125,3.0
98,172,2616.199951171875,3.0
210,173,1610.0,3.0
210,174,1088.800048828125,3.0
210,175,2423.10009765625,3.0
210,176,2179.5,3.0
86,177,1005.7000122070312,3.0
86,178,612.2999877929688,3.0
210,179,3944.0,3.0
210,180,3905.300048828125,3.0
440,181,1671.199951171875,3.0
98,182,2127.89990234375,3.0
86,183,1189.5,3.0
86,184,2906.5,3.0
86,185,492.6000061035156,3.0
210,186,3323.60009765625,3.0
86,187,2591.5,3.0
227,188,1551.699951171875,3.0
86,189,2094.5,3.0
440,190,1769.5999755859375,3.0
440,191,2918.199951171875,3.0
86,192,899.2999877929688,3.0
86,193,691.9000244140625,3.0
227,194,468.5,3.0
86,195,883.2999877929688,3.0
86,196,2046.800048828125,3.0
440,197,2611.699951171875,3.0
440,198,2435.10009765625,3.0
86,199,495.0,3.0
86,200,763.7000122070312,3.0
86,201,1096.300048828125,3.0
86,202,641.0999755859375,3.0
98,203,850.0999755859375,3.0
86,204,1156.0,3.0
227,205,1097.5999755859375,3.0
86,206,1192.0999755859375,3.0
86,207,943.7000122070312,3.0
86,208,1425.199951171875,3.0
210,209,2649.10009765625,3.0
210,210,0.0,3.0
440,211,638.7999877929688,3.0
440,212,2727.60009765625,3.0
227,213,1669.0,2.0
86,214,857.4000244140625,2.0
440,215,1713.199951171875,2.0
227,216,1312.9000244140625,2.0
440,217,2547.60009765625,2.0
440,218,2525.199951171875,2.0
440,219,1929.0,2.0
210,220,1225.199951171875,2.0
227,221,3007.0,2.0
440,222,2907.60009765625,2.0
440,223,3800.699951171875,2.0
440,224,3850.89990234375,2.0
440,225,2982.10009765625,2.0
227,226,1363.0,2.0
227,227,0.0,2.0
440,228,1861.4000244140625,2.0
86,229,1380.800048828125,2.0
98,230,2099.89990234375,2.0
210,231,2339.699951171875,2.0
86,232,2041.5999755859375,2.0
227,233,3176.0,2.0
227,234,4946.2001953125,2.0
440,235,3904.10009765625,2.0
227,236,3605.0,2.0
98,237,2728.699951171875,2.0
98,238,1002.4000244140625,2.0
86,239,931.7999877929688,2.0
86,240,1943.4000244140625,2.0
440,241,849.5,2.0
210,242,1046.5,2.0
210,243,1157.699951171875,2.0
86,244,1645.5999755859375,2.0
86,245,874.7999877929688,2.0
98,246,1174.300048828125,2.0
210,247,1908.4000244140625,2.0
210,248,2338.5,2.0
86,249,705.2999877929688,2.0
86,250,620.4000244140625,2.0
86,251,1443.5999755859375,2.0
86,252,400.20001220703125,2.0
227,253,886.9000244140625,2.0
210,254,3069.39990234375,2.0
227,255,809.2000122070312,2.0
440,256,1973.5,2.0
440,257,2702.5,2.0
210,258,1880.300048828125,2.0
210,259,1364.5999755859375,2.0
86,260,450.3999938964844,2.0
86,261,738.5,2.0
86,262,2102.300048828125,2.0
86,263,1867.9000244140625,2.0
86,264,521.0999755859375,2.0
86,265,736.0,2.0
86,266,1164.5999755859375,2.0
86,267,980.4000244140625,2.0
86,268,401.8999938964844,2.0
86,269,1374.800048828125,2.0
86,270,2112.0,2.0
98,271,2766.89990234375,2.0
86,272,1298.800048828125,2.0
86,273,630.4000244140625,2.0
86,274,726.9000244140625,2.0
210,275,2745.699951171875,2.0
210,276,804.0,2.0
227,277,1789.9000244140625,2.0
86,278,1885.9000244140625,2.0
440,279,1238.9000244140625,2.0
86,280,1638.5,2.0
227,281,824.5999755859375,2.0
86,282,1226.0999755859375,2.0
86,283,1109.0999755859375,2.0
86,284,1369.4000244140625,2.0
86,285,1410.9000244140625,2.0
98,286,2558.60009765625,2.0
210,287,3006.5,2.0
440,288,1728.0,2.0
86,289,2218.300048828125,2.0
86,290,1148.300048828125,2.0
86,291,2097.39990234375,2.0
86,292,1628.699951171875,2.0
86,293,1114.5999755859375,2.0
86,294,1288.199951171875,2.0
86,295,944.4000244140625,2.0
86,296,2126.39990234375,2.0
86,297,1900.9000244140625,2.0
86,298,1514.5,2.0
86,299,1811.0999755859375,2.0
86,300,2644.60009765625,2.0
86,301,1718.800048828125,2.0
227,302,2844.39990234375,2.0
86,303,2252.0,2.0
210,304,3439.199951171875,2.0
227,305,952.4000244140625,2.0
210,306,2067.800048828125,2.0
210,307,3358.60009765625,2.0
86,308,1872.199951171875,2.0
86,309,892.7999877929688,2.0
210,310,2520.800048828125,2.0
86,311,1549.5,2.0
210,312,2439.300048828125,2.0
98,313,774.9000244140625,2.0
86,314,2380.5,2.0
227,315,1114.0999755859375,2.0
227,316,1529.300048828125,2.0
86,317,2144.699951171875,2.0
98,318,1929.9000244140625,2.0
440,319,143.8000030517578,2.0
440,320,1981.0,2.0
440,321,3640.199951171875,2.0
86,322,1751.0,2.0
227,323,971.4000244140625,2.0
227,324,1211.300048828125,2.0
86,325,1790.5,2.0
210,326,2031.0,2.0
86,327,2286.89990234375,2.0
210,328,2113.199951171875,2.0
210,329,2455.60009765625,2.0
440,330,1709.699951171875,2.0
227,331,1791.5,2.0
210,332,1671.0999755859375,2.0
86,333,4554.39990234375,2.0
86,334,1524.699951171875,2.0
86,335,2230.10009765625,2.0
440,336,1704.300048828125,2.0
210,337,3666.39990234375,2.0
227,338,606.2000122070312,2.0
86,339,1818.0999755859375,2.0
86,340,1822.800048828125,2.0
210,341,3009.300048828125,2.0
86,342,2293.699951171875,2.0
98,343,601.7999877929688,2.0
440,344,5925.89990234375,2.0
210,345,818.7000122070312,2.0
210,346,1338.5,2.0
210,347,4436.7998046875,2.0
86,348,1135.199951171875,2.0
86,349,2679.10009765625,2.0
98,350,2841.300048828125,2.0
86,351,1775.4000244140625,2.0
440,352,2696.89990234375,2.0
440,353,2367.0,2.0
210,354,1835.199951171875,2.0
210,355,2006.4000244140625,2.0
98,356,2002.0999755859375,2.0
210,357,2185.39990234375,2.0
210,358,2921.89990234375,2.0
210,359,2830.300048828125,2.0
210,360,1862.5999755859375,2.0
210,361,1953.4000244140625,2.0
210,362,1720.5,2.0
98,363,1669.0999755859375,2.0
210,364,2567.800048828125,2.0
86,365,2559.10009765625,2.0
98,366,1713.0999755859375,2.0
227,367,1780.9000244140625,2.0
86,368,1224.199951171875,2.0
227,369,1059.300048828125,2.0
440,370,2894.5,2.0
86,371,1129.199951171875,2.0
98,372,2283.800048828125,2.0
86,373,754.9000244140625,2.0
440,374,1828.0999755859375,2.0
86,375,4507.89990234375,2.0
440,376,3126.60009765625,2.0
210,377,1873.0999755859375,2.0
440,378,4658.10009765625,2.0
210,379,2216.0,2.0
210,380,2120.39990234375,2.0
210,381,2556.5,2.0
98,382,1980.0999755859375,2.0
98,383,1806.5999755859375,2.0
86,384,13.600000381469727,2.0
98,385,1855.5999755859375,2.0
98,386,2514.199951171875,2.0
86,387,2354.89990234375,2.0
440,388,3395.5,2.0
210,389,1633.4000244140625,2.0
98,390,1025.9000244140625,2.0
98,391,1039.5,2.0
227,392,1616.699951171875,2.0
227,393,1522.4000244140625,2.0
98,394,992.2999877929688,2.0
227,395,1536.800048828125,2.0
98,396,1708.5,2.0
440,397,1487.800048828125,2.0
86,398,1449.5999755859375,2.0
98,399,2595.89990234375,2.0
210,400,1226.800048828125,2.0
86,401,1524.9000244140625,2.0
86,402,1344.300048828125,2.0
440,403,3162.39990234375,2.0
98,404,1689.699951171875,2.0
440,405,1749.800048828125,2.0
86,406,2017.699951171875,2.0
98,407,2854.0,2.0
210,408,1667.0,2.0
98,409,1538.0999755859375,2.0
98,410,2475.699951171875,2.0
98,411,2516.5,2.0
98,412,1201.800048828125,2.0
210,413,3003.5,2.0
210,414,1440.300048828125,2.0
98,415,427.5,2.0
98,416,282.0,2.0
210,417,2118.800048828125,2.0
227,418,2766.800048828125,2.0
86,419,773.7000122070312,2.0
210,420,1756.0999755859375,2.0
210,421,1915.9000244140625,2.0
98,422,307.6000061035156,2.0
98,423,3182.0,2.0
86,424,1645.800048828125,2.0
86,425,1579.0999755859375,2.0
440,426,1438.9000244140625,2.0
86,427,1524.0,2.0
227,428,1612.0,2.0
227,429,1091.0999755859375,2.0
227,430,1342.5,2.0
440,431,2795.699951171875,2.0
440,432,1247.199951171875,2.0
210,433,1423.5,2.0
210,434,1402.5999755859375,2.0
440,435,2353.60009765625,2.0
440,436,2438.800048828125,2.0
440,437,4390.89990234375,2.0
98,438,1435.0,2.0
98,439,1609.5999755859375,2.0
440,440,0.0,2.0
440,441,1862.9000244140625,2.0
440,442,3633.5,2.0
227,443,1971.9000244140625,2.0
227,444,1848.0999755859375,2.0
98,445,2196.300048828125,2.0
98,446,233.3000030517578,2.0
98,447,1312.5,2.0
86,448,1761.5,2.0
227,449,1271.5999755859375,2.0
440,450,2900.89990234375,2.0
227,451,1296.800048828125,2.0
227,452,1345.4000244140625,2.0
227,453,1200.199951171875,2.0
210,454,3655.10009765625,2.0
210,455,3618.10009765625,2.0
210,456,1878.5999755859375,2.0
440,457,623.5999755859375,2.0
440,458,1371.9000244140625,2.0
227,459,1207.9000244140625,2.0
440,460,673.0,2.0
440,461,1687.5,2.0
210,462,3530.0,2.0
440,463,1808.0999755859375,2.0
440,464,1795.9000244140625,2.0
440,465,2069.199951171875,2.0
440,466,1984.199951171875,2.0
98,467,525.7000122070312,2.0
98,468,746.2999877929688,2.0
86,469,2183.10009765625,2.0
98,470,1764.5999755859375,2.0
86,471,2095.199951171875,2.0
98,472,3092.5,2.0
440,473,875.7000122070312,2.0
98,474,1981.0999755859375,2.0
227,475,1214.5,2.0
440,476,3070.10009765625,2.0
98,477,728.4000244140625,2.0
440,478,966.2000122070312,2.0
98,479,2013.199951171875,2.0
98,480,2390.800048828125,2.0
98,481,3437.89990234375,2.0
210,482,3707.0,2.0
227,483,2071.699951171875,2.0
98,484,1266.4000244140625,2.0
440,485,258.79998779296875,2.0
227,486,1813.5999755859375,2.0
440,487,2627.800048828125,2.0
210,488,652.5999755859375,2.0
98,489,4495.39990234375,2.0
440,490,2169.39990234375,2.0
440,491,1610.300048828125,2.0
440,492,3339.5,2.0
86,493,414.6000061035156,2.0
440,494,707.9000244140625,2.0
440,495,2729.89990234375,2.0
86,496,703.0999755859375,2.0
440,497,2111.5,2.0
440,498,1981.0,2.0
98,499,3334.60009765625,2.0
86,500,2194.699951171875,2.0
86,501,754.7000122070312,2.0
440,502,1555.0,2.0
86,503,931.9000244140625,2.0
86,504,1634.199951171875,2.0
440,505,1152.5,2.0
210,506,2727.39990234375,2.0
86,507,349.79998779296875,2.0
98,508,1622.199951171875,2.0
86,509,1643.9000244140625,2.0
440,510,2017.5,2.0
86,511,2304.699951171875,2.0
86,512,2200.60009765625,2.0
98,513,1251.0,2.0
440,514,3126.199951171875,2.0
227,515,2322.39990234375,2.0
98,516,1748.199951171875,2.0
98,517,1651.0999755859375,2.0
440,518,2516.300048828125,2.0
86,519,475.5,2.0
86,520,788.7999877929688,2.0
210,521,5333.7998046875,2.0
86,522,1342.9000244140625,2.0
86,523,1415.0,2.0
227,524,1790.5,2.0
227,525,3235.300048828125,2.0
86,526,1419.4000244140625,2.0
86,527,1629.5,2.0
86,528,114.80000305175781,2.0
210,529,934.4000244140625,2.0
210,530,1819.9000244140625,2.0
210,531,1920.5999755859375,2.0
86,532,1233.800048828125,2.0
86,533,1522.0,2.0
86,534,386.29998779296875,2.0
86,535,762.7999877929688,2.0
227,536,1796.5,2.0
86,537,1321.4000244140625,2.0
210,538,1412.4000244140625,2.0
440,539,4168.60009765625,2.0
440,540,756.5,2.0
210,541,1669.5,2.0
210,542,2340.0,2.0
440,543,3571.199951171875,2.0
440,544,3235.699951171875,2.0
440,545,2683.800048828125,2.0
440,546,2449.300048828125,2.0
210,547,424.6000061035156,2.0
210,548,2440.89990234375,2.0
86,549,1721.0,2.0
210,550,1531.5,1.0
210,551,3778.89990234375,1.0
227,552,490.8999938964844,1.0
440,553,1330.5999755859375,1.0
440,554,1750.699951171875,1.0
98,555,3733.39990234375,1.0
227,556,638.7999877929688,1.0
227,557,2105.800048828125,1.0
210,558,4491.60009765625,1.0
440,559,4775.60009765625,1.0
98,560,2906.60009765625,1.0
210,561,1141.0,1.0
210,562,1742.0999755859375,1.0
210,563,1699.300048828125,1.0
86,564,1300.699951171875,1.0
86,565,1003.2000122070312,1.0
86,566,1184.5999755859375,1.0
86,567,1012.2000122070312,1.0
86,568,614.4000244140625,1.0
210,569,477.70001220703125,1.0
210,570,1782.0999755859375,1.0
210,571,1229.0999755859375,1.0
210,572,1134.5,1.0
210,573,1209.5,1.0
210,574,489.29998779296875,1.0
210,575,706.9000244140625,1.0
98,576,2861.39990234375,1.0
98,577,2831.300048828125,1.0
98,578,2059.10009765625,1.0
98,579,2153.10009765625,1.0
440,580,4456.10009765625,1.0
440,581,4445.2001953125,1.0
210,582,5308.5,1.0
440,583,1874.800048828125,1.0
210,584,1963.0,1.0
440,585,2368.199951171875,1.0
440,586,2606.0,1.0
440,587,2932.300048828125,1.0
440,588,1169.800048828125,1.0
440,589,2127.800048828125,1.0
440,590,2680.10009765625,1.0
440,591,2395.5,1.0
440,592,2412.10009765625,1.0
440,593,502.79998779296875,1.0
440,594,401.79998779296875,1.0
86,595,1484.0,1.0
98,596,1809.800048828125,1.0
86,597,3014.60009765625,1.0
210,598,752.5,1.0
210,599,91.5,1.0
210,600,553.2000122070312,1.0
440,601,3539.10009765625,1.0
440,602,3572.199951171875,1.0
98,603,2894.60009765625,1.0
440,604,2611.800048828125,1.0
440,605,3412.800048828125,1.0
440,606,2829.5,1.0
440,607,3322.800048828125,1.0
440,608,3362.5,1.0
210,609,2317.199951171875,1.0
440,610,3297.0,1.0
440,611,3421.5,1.0
440,612,3351.0,1.0
440,613,3023.0,1.0
440,614,3483.10009765625,1.0
440,615,3292.699951171875,1.0
440,616,2735.699951171875,1.0
440,617,3341.39990234375,1.0
210,618,2855.89990234375,1.0
440,619,1130.0,1.0
440,620,1176.5,1.0
440,621,1833.800048828125,1.0
210,622,3912.10009765625,1.0
86,623,3898.199951171875,1.0
210,624,4491.0,1.0
210,625,3524.800048828125,1.0
210,626,1692.0999755859375,1.0
210,627,1393.699951171875,1.0
210,628,1632.5999755859375,1.0
210,629,1158.300048828125,1.0
210,630,3205.0,1.0
440,631,3397.0,1.0
440,632,4149.10009765625,1.0
440,633,906.0999755859375,1.0
440,634,1058.199951171875,1.0
440,635,198.60000610351562,1.0
210,636,2270.89990234375,1.0
227,637,1329.5,1.0
227,638,1240.5,1.0
440,639,433.5,1.0
440,640,589.2999877929688,1.0
227,641,998.9000244140625,1.0
227,642,742.4000244140625,1.0
227,643,1472.9000244140625,1.0
440,644,3325.39990234375,1.0
440,645,2653.199951171875,1.0
440,646,1838.699951171875,1.0
440,647,2756.60009765625,1.0
440,648,2315.800048828125,1.0
440,649,588.7999877929688,1.0
440,650,1821.0,1.0
210,651,1380.0999755859375,1.0
210,652,1343.5999755859375,1.0
86,653,2015.9000244140625,1.0
440,654,3673.699951171875,1.0
440,655,1583.300048828125,1.0
440,656,2690.89990234375,1.0
86,657,2776.800048828125,1.0
440,658,3864.5,1.0
440,659,3639.300048828125,1.0
98,660,1826.0999755859375,1.0
98,661,2670.699951171875,1.0
227,662,3094.199951171875,1.0
227,663,3014.199951171875,1.0
227,664,1228.4000244140625,1.0
210,665,2153.89990234375,1.0
210,666,2549.10009765625,1.0
440,667,685.2999877929688,1.0
210,668,1158.800048828125,1.0
210,669,1424.4000244140625,1.0
210,670,1592.0,1.0
210,671,1965.800048828125,1.0
210,672,2421.60009765625,1.0
210,673,3044.199951171875,1.0
210,674,3110.5,1.0
210,675,2154.0,1.0
98,676,2014.5,1.0
210,677,659.5999755859375,1.0
210,678,1123.0999755859375,1.0
210,679,945.2999877929688,1.0
210,680,2358.60009765625,1.0
98,681,1662.800048828125,1.0
98,682,2065.0,1.0
86,683,690.2999877929688,1.0
440,684,735.7000122070312,1.0
440,685,743.9000244140625,1.0
440,686,2669.10009765625,1.0
440,687,2139.10009765625,1.0
440,688,885.7999877929688,1.0
440,689,916.2999877929688,1.0
210,690,1337.5,1.0
210,691,1482.5999755859375,1.0
227,692,2554.89990234375,1.0
98,693,2754.699951171875,1.0
98,694,2062.199951171875,1.0
227,695,2072.10009765625,1.0
227,696,2750.10009765625,1.0
440,697,1588.0,1.0
440,698,734.0999755859375,1.0
440,699,1707.300048828125,1.0
440,700,800.0,1.0
440,701,2649.300048828125,1.0
210,702,3992.699951171875,1.0
210,703,3710.60009765625,1.0
86,704,768.0,1.0
86,705,670.0999755859375,1.0
98,706,571.4000244140625,1.0
440,707,3374.199951171875,1.0
86,708,1629.699951171875,1.0
440,709,576.7000122070312,1.0
440,710,2510.89990234375,1.0
210,711,2123.89990234375,1.0
98,712,1463.800048828125,1.0
210,713,4417.7998046875,1.0
440,714,1390.300048828125,1.0
440,715,1036.0,1.0
440,716,2598.0,1.0
440,717,1567.4000244140625,1.0
440,718,1638.199951171875,1.0
440,719,2097.199951171875,1.0
440,720,2797.0,1.0
440,721,2224.800048828125,1.0
210,722,4129.7001953125,1.0
86,723,606.0999755859375,1.0
86,724,1690.800048828125,1.0
86,725,2334.60009765625,1.0
440,726,2423.800048828125,1.0
440,727,1755.0,1.0
440,728,891.2999877929688,1.0
440,729,730.2999877929688,1.0
440,730,2167.0,1.0
440,731,2046.0,1.0
440,732,621.7999877929688,1.0
440,733,871.2000122070312,1.0
440,734,1701.0,1.0
440,735,1508.0999755859375,1.0
440,736,988.5,1.0
210,737,509.20001220703125,1.0
227,738,1187.9000244140625,1.0
440,739,1368.800048828125,1.0
440,740,726.2999877929688,1.0
98,741,3091.0,1.0
98,742,3152.60009765625,1.0
210,743,2613.800048828125,1.0
210,744,1568.699951171875,1.0
98,745,3655.0,1.0
227,746,4460.89990234375,1.0
210,747,5001.10009765625,1.0
227,748,162.39999389648438,1.0
227,749,14.600000381469727,1.0
227,750,603.9000244140625,1.0
98,751,1439.5999755859375,1.0
210,752,2739.10009765625,1.0
210,753,4344.0,1.0
98,754,1609.0999755859375,1.0
227,755,1691.800048828125,1.0
227,756,1579.5999755859375,1.0
440,757,858.5,1.0
98,758,971.0,1.0
98,759,749.7999877929688,1.0
98,760,923.5999755859375,1.0
227,761,3000.199951171875,1.0
98,762,3027.89990234375,1.0
98,763,3152.10009765625,1.0
227,764,4120.2998046875,1.0
98,765,3167.60009765625,1.0
98,766,3402.89990234375,1.0
227,767,1808.0,1.0
98,768,1692.5,1.0
98,769,2323.800048828125,1.0
98,770,2677.89990234375,1.0
98,771,3561.89990234375,1.0
98,772,3637.10009765625,1.0
98,773,3662.300048828125,1.0
440,774,2918.60009765625,1.0
440,775,2788.800048828125,1.0
440,776,3985.60009765625,1.0
440,777,1477.5,1.0
227,778,1001.5,1.0
440,779,1498.699951171875,1.0
227,780,795.2000122070312,1.0
440,781,1283.0999755859375,1.0
440,782,2657.300048828125,1.0
227,783,1050.4000244140625,1.0
440,784,2340.800048828125,1.0
227,785,1780.0,1.0
440,786,1570.699951171875,1.0
440,787,1915.800048828125,1.0
227,788,1412.300048828125,1.0
440,789,2024.0999755859375,1.0
440,790,2388.5,1.0
227,791,1480.300048828125,1.0
440,792,2283.800048828125,1.0
98,793,1138.0,1.0
98,794,1212.800048828125,1.0
440,795,1808.5,1.0
440,796,997.7000122070312,1.0
440,797,1570.0,1.0
440,798,1147.9000244140625,1.0
210,799,3567.300048828125,1.0
210,800,2284.300048828125,1.0
440,801,1386.5999755859375,1.0
227,802,710.9000244140625,1.0
440,803,1458.9000244140625,1.0
440,804,1386.4000244140625,1.0
440,805,1201.800048828125,1.0
440,806,1406.5,1.0
440,807,1636.5,1.0
440,808,1410.5,1.0
440,809,2725.39990234375,1.0
98,810,629.2999877929688,1.0
98,811,534.2999877929688,1.0
98,812,1320.5999755859375,1.0
98,813,740.0999755859375,1.0
98,814,1228.300048828125,1.0
440,815,1869.0999755859375,1.0
227,816,1518.9000244140625,1.0
98,817,1897.199951171875,1.0
227,818,1153.4000244140625,1.0
440,819,442.3999938964844,1.0
98,820,761.0,1.0
210,821,1900.4000244140625,1.0
210,822,2110.39990234375,1.0
227,823,1622.300048828125,1.0
440,824,668.5,1.0
98,825,1035.9000244140625,1.0
440,826,1712.800048828125,1.0
227,827,1439.5999755859375,1.0
440,828,1746.5,1.0
98,829,3364.5,1.0
98,830,3226.10009765625,1.0
98,831,3509.0,1.0
98,832,3554.89990234375,1.0
227,833,4229.39990234375,1.0
98,834,4450.7001953125,1.0
227,835,3868.0,1.0
98,836,3625.10009765625,1.0
98,837,978.0999755859375,1.0
98,838,82.0999984741211,1.0
210,839,1806.5,1.0
210,840,1725.5,1.0
227,841,1388.4000244140625,1.0
98,842,164.0,1.0
227,843,917.0,1.0
98,844,1303.0,1.0
227,845,1884.300048828125,1.0
227,846,1441.5,1.0
227,847,1429.4000244140625,1.0
227,848,668.4000244140625,1.0
210,849,2570.39990234375,1.0
227,850,1105.5999755859375,1.0
98,851,442.6000061035156,1.0
440,852,1779.0,1.0
227,853,1785.300048828125,1.0
98,854,1750.199951171875,1.0
440,855,3187.199951171875,1.0
227,856,733.2999877929688,1.0
98,857,2004.199951171875,1.0
98,858,1929.800048828125,1.0
227,859,1804.5999755859375,1.0
440,860,1598.199951171875,1.0
210,861,3509.60009765625,1.0
98,862,451.79998779296875,1.0
98,863,1089.5,1.0
210,864,2195.5,1.0
210,865,2289.39990234375,1.0
210,866,1283.4000244140625,1.0
210,867,1991.300048828125,1.0
86,868,2006.5999755859375,1.0
86,869,2117.89990234375,1.0
210,870,3327.699951171875,1.0
98,871,90.19999694824219,1.0
227,872,1416.0,1.0
210,873,4854.7998046875,1.0
227,874,1665.9000244140625,1.0
227,875,1583.699951171875,1.0
98,876,937.7999877929688,1.0
98,877,1442.4000244140625,1.0
86,878,1456.300048828125,1.0
86,879,933.2999877929688,1.0
210,880,2108.89990234375,1.0
210,881,2443.300048828125,1.0
98,882,1525.300048828125,1.0
210,883,1425.199951171875,1.0
210,884,1026.5999755859375,1.0
210,885,1308.199951171875,1.0
98,886,1254.199951171875,1.0
227,887,1581.5999755859375,1.0
98,888,1540.800048828125,1.0
86,889,1622.199951171875,1.0
98,890,2055.89990234375,1.0
98,891,969.9000244140625,1.0
86,892,1669.199951171875,1.0
86,893,1405.699951171875,1.0
227,894,1582.699951171875,1.0
98,895,626.7999877929688,1.0
86,896,1707.9000244140625,1.0
98,897,553.7999877929688,1.0
98,898,480.0,1.0
98,899,2277.39990234375,1.0
